Day	Experiment	Variant	Users	Buy	winner_variant
2021-08-01 09	 cookiesConsentBanner	DEFAULT	1	0.0	DEFAULT
2021-08-01 09	 frontend/assetsCdnDomainMLA	DEFAULT	1	0.0	DEFAULT
2021-08-01 09	 mclics/show-pads-global	5176	1	0.0	5176
2021-08-01 09	 mclics/show-pads-search-list	5146	1	0.0	5146
2021-08-01 09	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	1	0.0	None
2021-08-01 09	 search/best-seller-fail-fast-edition-MLA	4916	1	0.0	4916
2021-08-01 09	 vip/seller-with-tooltip	4692	1	0.0	4692
2021-08-01 09	 vip/showV2V3BoxMessages	6430	2	0.0	None
2021-08-01 09	{search/remove-ecn-tag	4954	2	0.0	None
2021-08-01 12	 cookiesConsentBanner	DEFAULT	30	0.0	DEFAULT
2021-08-01 12	 filters/sort-by-ranking	6971	1	0.0	None
2021-08-01 12	 filters/sort-by-ranking	6972	7	0.0	None
2021-08-01 12	 filters/sort-by-ranking	7057	12	1.0	None
2021-08-01 12	 frontend/assetsCdnDomainMLA	DEFAULT	19	0.0	DEFAULT
2021-08-01 12	 frontend/assetsCdnDomainMLU	DEFAULT	21	0.0	DEFAULT
2021-08-01 12	 mclics/ads-adsearch-boost-incremental-desktop-mla	3809	3	0.0	3809
2021-08-01 12	 mclics/search-list-algorithms	5528	7	0.0	5528
2021-08-01 12	 mclics/search-pads-none-desktop-mla	3478	4	0.0	3478
2021-08-01 12	 mclics/search-pads-none-desktop-mla	3479	1	0.0	3478
2021-08-01 12	 mclics/show-pads-global	5176	7	0.0	5176
2021-08-01 12	 mclics/show-pads-search-list	5145	1	0.0	5146
2021-08-01 12	 mclics/show-pads-search-list	5146	5	0.0	5146
2021-08-01 12	 pdp/viewItemPageMigrationDesktopReviewsNoTabs	4856	2	0.0	None
2021-08-01 12	 pdp/viewItemPageMigrationReturns	5208	10	0.0	None
2021-08-01 12	 search/back-filters	5059	19	0.0	5059
2021-08-01 12	 search/best-seller-aa-testing-fail-fast-edition	4514	4	0.0	None
2021-08-01 12	 search/best-seller-aa-testing-fail-fast-edition	4515	5	0.0	None
2021-08-01 12	 search/best-seller-fail-fast-edition-MLA	4916	9	0.0	4916
2021-08-01 12	 search/enable-map-layout	5929	1	0.0	5929
2021-08-01 12	 search/remove-ecn-tag	4954	7	0.0	4954
2021-08-01 12	 search/tendency-landing-enabled-MLA	6980	1	0.0	6980
2021-08-01 12	 search/ungroup-products	3273	2	0.0	3273
2021-08-01 12	 search/web-layout-default-res	6806	1	0.0	None
2021-08-01 12	 searchbackend/cbt-antiboost	6333	14	0.0	6333
2021-08-01 12	 searchbackend/item-reputation	3824	19	0.0	3824
2021-08-01 12	 searchbackend/official-store-orders-boost	4313	1	0.0	4314
2021-08-01 12	 searchbackend/official-store-orders-boost	4314	1	0.0	4314
2021-08-01 12	 searchbackend/recommended-products	6157	3	0.0	None
2021-08-01 12	 searchbackend/recommended-products	6158	4	1.0	None
2021-08-01 12	 searchbackend/seller-reputation-change	4552	7	0.0	4553
2021-08-01 12	 searchbackend/seller-reputation-change	4553	12	0.0	4553
2021-08-01 12	 vip/carousel-v2p-above-the-fold	6786	9	0.0	None
2021-08-01 12	 vip/carousel-v2p-above-the-fold	6787	5	0.0	None
2021-08-01 12	 vip/seller-with-tooltip	4692	15	0.0	4692
2021-08-01 12	 vip/shippingCalculatorMigrationModalExperiment	6551	12	0.0	None
2021-08-01 12	 vip/showV2V3BoxMessages	6430	7	0.0	None
2021-08-01 12	{qadb/sa-on-vip	6696	1	0.0	None
2021-08-01 12	{search/remove-ecn-tag	4954	15	0.0	None
2021-08-01 12	{searchbackend/recommended-products	6157	6	0.0	None
2021-08-01 12	{searchbackend/recommended-products	6158	1	0.0	None
2021-08-01 12	{vip/showV2V3BoxMessages	6430	5	0.0	6430
2021-08-01 13	 cookiesConsentBanner	DEFAULT	20	0.0	DEFAULT
2021-08-01 13	 filters/sort-by-ranking	6971	6	0.0	None
2021-08-01 13	 filters/sort-by-ranking	6972	2	0.0	None
2021-08-01 13	 filters/sort-by-ranking	7057	1	0.0	None
2021-08-01 13	 frontend/assetsCdnDomainMLA	DEFAULT	12	0.0	DEFAULT
